"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"travis kelce","TE","KC","2018","13","168","2","12","13","14.0","28"
"tarik cohen","RB","CHI","2018","13","156","0","12","14","13.0","46"
"antonio brown","WR","PIT","2018","13","154","1","10","13","15.4","46"
"keenan allen","WR","LAC","2018","13","148","1","14","19","10.6","21"
"dante pettis","WR","SF","2018","13","129","2","5","7","25.8","75"
"taywan taylor","WR","TEN","2018","13","104","0","3","5","34.7","55"
"jarvis landry","WR","CLE","2018","13","103","0","6","9","17.2","28"
"chris godwin","WR","TB","2018","13","101","1","5","6","20.2","48"
"jared cook","TE","OAK","2018","13","100","1","7","8","14.3","29"
"jordy nelson","WR","OAK","2018","13","97","0","10","11","9.7","24"
"tyler boyd","WR","CIN","2018","13","97","0","6","8","16.2","23"
"davante adams","WR","GB","2018","13","93","1","8","13","11.6","19"
"james white","RB","NE","2018","13","92","0","7","9","13.1","42"
"deandre hopkins","WR","HOU","2018","13","91","0","7","12","13.0","29"
"levine toilolo","TE","DET","2018","13","90","0","4","6","22.5","39"
"curtis samuel","WR","CAR","2018","13","88","0","6","11","14.7","31"
"golden tate","WR","PHI","2018","13","85","1","7","7","12.1","32"
"courtland sutton","WR","DEN","2018","13","85","1","4","7","21.3","30"
"antonio callaway","WR","CLE","2018","13","84","0","3","6","28.0","71"
"zach ertz","TE","PHI","2018","13","83","0","9","10","9.2","20"
"eric ebron","TE","IND","2018","13","81","0","10","16","8.1","20"
"allen robinson","WR","CHI","2018","13","79","0","5","9","15.8","30"
"ty hilton","WR","IND","2018","13","77","0","8","13","9.6","16"
"amari cooper","WR","DAL","2018","13","76","0","8","8","9.5","19"
"michael gallup","WR","DAL","2018","13","76","0","5","7","15.2","40"
"jeff wilson","RB","SF","2018","13","73","0","8","9","9.1","24"
"george kittle","TE","SF","2018","13","70","0","6","9","11.7","28"
"robert woods","WR","LAR","2018","13","67","1","5","8","13.4","23"
"jaron brown","WR","SEA","2018","13","67","2","3","3","22.3","45"
"zay jones","WR","BUF","2018","13","67","2","4","9","16.8","25"
"brandin cooks","WR","LAR","2018","13","62","0","4","6","15.5","26"
"rashard higgins","WR","CLE","2018","13","62","1","4","4","15.5","21"
"adam humphries","WR","TB","2018","13","61","1","7","9","8.7","13"
"ezekiel elliott","RB","DAL","2018","13","60","1","6","6","10.0","16"
"kendrick bourne","WR","SF","2018","13","60","0","4","7","15.0","33"
"russell shepard","WR","NYG","2018","13","59","1","2","2","29.5","49"
"josh gordon","WR","NE","2018","13","58","1","3","3","19.3","24"
"nelson agholor","WR","PHI","2018","13","56","0","4","8","14.0","39"
"christian mccaffrey","RB","CAR","2018","13","55","1","9","10","6.1","15"
"christian kirk","WR","ARI","2018","13","54","0","3","8","18.0","37"
"cordarrelle patterson","WR","NE","2018","13","53","0","2","2","26.5","29"
"tyler lockett","WR","SEA","2018","13","52","1","1","2","52.0","52"
"mike williams 5","WR","LAC","2018","13","52","0","3","3","17.3","20"
"josh doctson","WR","WAS","2018","13","51","0","3","5","17.0","32"
"tajae sharpe","WR","TEN","2018","13","51","0","3","6","17.0","28"
"matt breida","RB","SF","2018","13","51","0","3","3","17.0","26"
"jimmy graham","TE","GB","2018","13","50","0","8","11","6.3","10"
"kenny golladay","WR","DET","2018","13","50","0","3","8","16.7","24"
"nyheim hines","RB","IND","2018","13","50","0","9","9","5.6","11"
"tj yeldon","RB","JAX","2018","13","49","0","7","8","7.0","15"
"stefon diggs","WR","MIN","2018","13","49","0","5","6","9.8","24"
"juju smith schuster","WR","PIT","2018","13","49","0","6","9","8.2","16"
"larry fitzgerald","WR","ARI","2018","13","48","0","3","6","16.0","32"
"mike evans","WR","TB","2018","13","48","0","4","6","12.0","20"
"robby anderson","WR","NYJ","2018","13","48","0","4","7","12.0","16"
"corey clement","RB","PHI","2018","13","47","0","3","3","15.7","23"
"mark andrews","TE","BAL","2018","13","47","0","3","3","15.7","21"
"isaiah mckenzie","WR","BUF","2018","13","46","0","4","4","11.5","23"
"ian thomas","TE","CAR","2018","13","46","0","5","5","9.2","20"
"travis benjamin","WR","LAC","2018","13","44","1","2","2","22.0","46"
"jarius wright","WR","CAR","2018","13","44","0","2","3","22.0","33"
"austin hooper","TE","ATL","2018","13","44","1","5","5","8.8","17"
"dj moore 2","WR","CAR","2018","13","44","0","4","8","11.0","16"
"devante parker","WR","MIA","2018","13","43","1","4","7","10.8","18"
"rhett ellison","TE","NYG","2018","13","42","0","4","6","10.5","15"
"ty montgomery","RB","BAL","2018","13","42","0","5","7","8.4","14"
"corey davis","WR","TEN","2018","13","42","1","3","7","14.0","22"
"anthony firkser","TE","TEN","2018","13","42","1","3","3","14.0","25"
"nick chubb","RB","CLE","2018","13","41","0","3","3","13.7","24"
"donte moncrief","WR","JAX","2018","13","40","0","3","4","13.3","18"
"mike thomas 2","WR","NO","2018","13","40","0","5","8","8.0","11"
"dontrell hilliard","RB","CLE","2018","13","40","0","4","4","10.0","23"
"demetrius harris","TE","KC","2018","13","39","1","3","6","13.0","16"
"chris carson","RB","SEA","2018","13","39","0","3","4","13.0","27"
"kyle rudolph","TE","MIN","2018","13","38","0","3","3","12.7","23"
"patrick dimarco","FB","BUF","2018","13","38","0","1","1","38.0","38"
"demarcus robinson","WR","KC","2018","13","38","0","1","1","38.0","38"
"devontae booker","RB","DEN","2018","13","38","0","2","2","19.0","30"
"mohamed sanu","WR","ATL","2018","13","37","0","3","4","12.3","15"
"aldrick robinson","WR","MIN","2018","13","37","0","5","9","7.4","10"
"kenny stills","WR","MIA","2018","13","37","1","4","6","9.3","13"
"michael crabtree","WR","BAL","2018","13","36","0","3","4","12.0","18"
"cameron brate","TE","TB","2018","13","36","0","3","6","12.0","18"
"jamison crowder","WR","WAS","2018","13","36","0","4","4","9.0","11"
"alvin kamara","RB","NO","2018","13","36","0","8","11","4.5","8"
"odell beckham jr","WR","NYG","2018","13","35","1","3","9","11.7","20"
"bruce ellington","WR","DET","2018","13","35","0","7","10","5.0","10"
"todd gurley","RB","LAR","2018","13","33","0","3","5","11.0","19"
"cj uzomah","TE","CIN","2018","13","33","0","5","6","6.6","20"
"demaryius thomas","WR","HOU","2018","13","32","0","3","5","10.7","15"
"giovani bernard","RB","CIN","2018","13","32","0","6","8","5.3","16"
"deandre carter","WR","HOU","2018","13","32","0","6","6","5.3","11"
"jordan thomas","TE","HOU","2018","13","32","1","3","3","10.7","15"
"alshon jeffery","WR","PHI","2018","13","31","0","3","5","10.3","16"
"jalen richard","WR","OAK","2018","13","31","0","3","4","10.3","15"
"christopher herndon","TE","NYJ","2018","13","31","0","2","6","15.5","20"
"cody core","WR","CIN","2018","13","30","1","1","4","30.0","30"
"keith kirkwood","WR","NO","2018","13","30","1","1","3","30.0","30"
"jonnu smith","TE","TEN","2018","13","29","0","2","3","14.5","18"
