"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"cj anderson","RB","LAR","2018","16","167","1","20","8.4","46"
"adrian peterson","RB","WAS","2018","16","119","0","26","4.6","13"
"chris carson","RB","SEA","2018","16","116","2","27","4.3","17"
"sony michel","RB","NE","2018","16","116","1","18","6.4","19"
"brian hill","RB","ATL","2018","16","115","0","8","14.4","60"
"nick chubb","RB","CLE","2018","16","112","0","19","5.9","22"
"doug martin","RB","OAK","2018","16","107","1","21","5.1","24"
"damien williams","RB","KC","2018","16","103","0","13","7.9","25"
"christian mccaffrey","RB","CAR","2018","16","101","0","21","4.8","13"
"jamaal williams","RB","GB","2018","16","95","1","15","6.3","19"
"gus edwards","RB","BAL","2018","16","92","0","14","6.6","43"
"ezekiel elliott","RB","DAL","2018","16","85","0","18","4.7","17"
"derrick henry","RB","TEN","2018","16","84","1","21","4.0","18"
"dalvin cook","RB","MIN","2018","16","73","0","16","4.6","18"
"joe mixon","RB","CIN","2018","16","68","0","17","4.0","20"
"cordarrelle patterson","WR","NE","2018","16","66","0","4","16.5","27"
"russell wilson","QB","SEA","2018","16","57","0","8","7.1","26"
"jordan howard","RB","CHI","2018","16","53","1","13","4.1","9"
"jaylen samuels","RB","PIT","2018","16","53","0","12","4.4","16"
"tevin coleman","RB","ATL","2018","16","51","0","10","5.1","20"
"deshaun watson","QB","HOU","2018","16","49","2","8","6.1","12"
"josh rosen","QB","ARI","2018","16","49","0","4","12.3","16"
"carlos hyde","RB","JAX","2018","16","47","0","8","5.9","19"
"phillip lindsay","RB","DEN","2018","16","46","0","10","4.6","11"
"zach zenner","RB","DET","2018","16","45","0","8","5.6","29"
"peyton barber","RB","TB","2018","16","43","0","17","2.5","8"
"leonard fournette","RB","JAX","2018","16","43","1","18","2.4","9"
"saquon barkley","RB","NYG","2018","16","43","1","21","2.0","6"
"james white","RB","NE","2018","16","41","1","8","5.1","27"
"melvin gordon","RB","LAC","2018","16","41","1","12","3.4","13"
"john kelly","RB","LAR","2018","16","40","0","10","4.0","7"
"rex burkhead","RB","NE","2018","16","39","0","13","3.0","10"
"lamar jackson","QB","BAL","2018","16","39","0","13","3.0","27"
"mark ingram","RB","NO","2018","16","35","1","11","3.2","8"
"david johnson 2","RB","ARI","2018","16","35","0","10","3.5","16"
"elijah mcguire","RB","NYJ","2018","16","35","1","14","2.5","10"
"marlon mack","RB","IND","2018","16","34","1","12","2.8","11"
"taylor heinicke","QB","CAR","2018","16","33","0","3","11.0","19"
"patrick mahomes ii","QB","KC","2018","16","33","0","3","11.0","22"
"keith ford","RB","BUF","2018","16","33","0","7","4.7","11"
"aaron rodgers","QB","GB","2018","16","32","2","5","6.4","23"
"darren sproles","RB","PHI","2018","16","32","0","9","3.6","16"
"mike davis 3","RB","SEA","2018","16","31","0","7","4.4","10"
"josh allen 2","QB","BUF","2018","16","30","0","5","6.0","13"
"legarrette blount","RB","DET","2018","16","29","0","11","2.6","10"
"mohamed sanu","WR","ATL","2018","16","29","0","2","14.5","24"
"kenneth dixon","RB","BAL","2018","16","28","0","8","3.5","19"
"brandin cooks","WR","LAR","2018","16","27","0","3","9.0","17"
"jeff wilson","RB","SF","2018","16","27","0","11","2.5","8"
"evan engram","TE","NYG","2018","16","26","0","2","13.0","14"
"blake bortles","QB","JAX","2018","16","25","0","4","6.3","14"
"kenyan drake","RB","MIA","2018","16","23","0","6","3.8","9"
"alvin kamara","RB","NO","2018","16","23","2","7","3.3","8"
"josh johnson 2","QB","WAS","2018","16","22","0","4","5.5","16"
"ryan tannehill","QB","MIA","2018","16","22","0","3","7.3","12"
"latavius murray","RB","MIN","2018","16","22","0","9","2.4","11"
"devontae booker","RB","DEN","2018","16","21","0","3","7.0","9"
"jeff driskel","QB","CIN","2018","16","21","0","5","4.2","15"
"royce freeman","RB","DEN","2018","16","21","0","7","3.0","4"
"josh adams","RB","PHI","2018","16","21","0","11","1.9","6"
"chris thompson","RB","WAS","2018","16","20","0","4","5.0","15"
"matt breida","RB","SF","2018","16","20","0","4","5.0","11"
