"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"aaron rodgers","QB","GB","2019","7","429","5","25","31","80.6%","13.8","74","158.3","0","1","8"
"matthew stafford","QB","DET","2019","7","364","4","30","45","66.7%","8.1","47","111.7","1","2","12"
"kirk cousins","QB","MIN","2019","7","338","4","24","34","70.6%","9.9","66","141.5","0","0","0"
"philip rivers","QB","LAC","2019","7","329","2","24","38","63.2%","8.7","41","108.3","0","1","3"
"jacoby brissett","QB","IND","2019","7","326","4","26","39","66.7%","8.4","34","126.7","0","1","5"
"ryan tannehill","QB","TEN","2019","7","312","2","23","29","79.3%","10.8","38","120.1","1","2","17"
"deshaun watson","QB","HOU","2019","7","308","1","23","34","67.6%","9.1","45","81.5","2","3","17"
"derek carr","QB","OAK","2019","7","293","2","22","28","78.6%","10.5","48","119.2","1","0","0"
"ryan fitzpatrick","QB","MIA","2019","7","282","1","23","35","65.7%","8.1","35","88.0","1","0","0"
"teddy bridgewater","QB","NO","2019","7","281","2","23","38","60.5%","7.4","45","100.9","0","1","8"
"andy dalton","QB","CIN","2019","7","276","1","22","43","51.2%","6.4","48","50.1","3","2","18"
"jared goff","QB","LAR","2019","7","268","2","22","37","59.5%","7.2","33","99.8","0","0","0"
"gardner minshew","QB","JAX","2019","7","255","1","15","32","46.9%","8.0","47","84.8","0","2","11"
"mitchell trubisky","QB","CHI","2019","7","251","2","34","54","63.0%","4.6","28","86.3","0","2","16"
"tom brady","QB","NE","2019","7","249","1","31","45","68.9%","5.5","28","80.7","1","0","0"
"russell wilson","QB","SEA","2019","7","241","1","20","41","48.8%","5.9","48","65.2","1","1","0"
"dak prescott","QB","DAL","2019","7","239","1","21","27","77.8%","8.9","44","100.5","1","3","26"
"daniel jones","QB","NYG","2019","7","223","1","22","35","62.9%","6.4","28","78.6","1","8","67"
"joe flacco","QB","DEN","2019","7","213","0","21","34","61.8%","6.3","41","79.7","0","8","72"
"josh allen 2","QB","BUF","2019","7","202","2","16","26","61.5%","7.8","27","111.4","0","2","14"
"carson wentz","QB","PHI","2019","7","191","1","16","26","61.5%","7.3","30","80.8","1","3","23"
"matt ryan","QB","ATL","2019","7","159","0","16","27","59.3%","5.9","39","60.6","1","5","38"
"jimmy garoppolo","QB","SF","2019","7","151","0","12","21","57.1%","7.2","40","59.8","1","2","5"
"lamar jackson","QB","BAL","2019","7","143","0","9","20","45.0%","7.2","50","69.4","0","1","2"
"matt moore","QB","KC","2019","7","117","1","10","19","52.6%","6.2","57","89.1","0","1","2"
"kyler murray","QB","ARI","2019","7","104","0","14","21","66.7%","5.0","12","78.3","0","2","15"
"sam darnold","QB","NYJ","2019","7","86","0","11","32","34.4%","2.7","20","3.6","4","1","13"
"case keenum","QB","WAS","2019","7","77","0","9","12","75.0%","6.4","19","91.3","0","3","27"
"patrick mahomes ii","QB","KC","2019","7","76","1","10","11","90.9%","6.9","21","125.8","0","0","0"
"matt schaub","QB","ATL","2019","7","65","1","6","6","100.0%","10.8","19","151.4","0","0","0"
"mike glennon","QB","OAK","2019","7","36","1","2","3","66.7%","12.0","19","147.2","0","0","0"
"johnny hekker","P","LAR","2019","7","23","0","1","1","100.0%","23.0","23","118.8","0","0","0"
"brett kern","P","TEN","2019","7","11","0","1","1","100.0%","11.0","11","112.5","0","0","0"
"albert wilson","WR","MIA","2019","7","0","0","0","0","-","-","0","0.0","0","1","10"
"zach pascal","WR","IND","2019","7","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"colby wadman","P","DEN","2019","7","0","0","0","0","-","-","0","0.0","0","1","7"
